id,name,original_language,rating,rating_votes,release_freq,activity_all_time_rank,activity_month_rank,activity_week_rank,on_reading_lists,reading_list_all_time_rank,reading_list_month_rank
30064,Asteroid,chinese,3.8,24,14.4,7011,6145,5639,698,6432,10265
30068,When She Becomes a Witch,japanese,4.2,11,80.1,10548,2000,2000,297,9124,8272
30073,I’m Really a Villain,chinese,4.1,50,71.2,5721,4306,3489,552,7177,8424
30080,The Girl Who Spits Up Jewels (WN),japanese,4,13,71.8,9815,2000,2000,420,8047,6361
30089,Pampering My Husband Every Day,chinese,4.2,114,12.6,3259,3277,4246,2180,2917,6954
30092,Everyone Knows I’m a Good Person,chinese,4.4,478,64.1,356,338,135,8147,379,335
30094,Former Cannon Fodder’s Self-help Manual,chinese,4.1,59,38.4,4199,2000,6928,919,5480,3902
30097,Sealing Sword,chinese,4,5,641,10884,2000,2000,103,11353,6767
30102,Transmigrated into the Villain’s Younger Sister,chinese,4,64,25,3657,1876,3489,2068,3071,4847
30108,Winter Flower,chinese,4.6,32,640,6813,2000,6928,381,8361,9256
30111,Hagure Seirei Ino Shinsatsu Kiroku~ Seijo Kishi-dan to Iyashi no Kamiwaza ~,japanese,3.6,58,29.8,2674,6594,2000,1829,3431,6184
30113,Strongest Martial God,chinese,3.3,13,31.3,6728,3263,2000,245,9662,8133
30118,Special District 9,chinese,4,44,36.8,6023,2000,6928,525,7327,7370
30124,Green Tea Villainess Fails,chinese,4.2,79,17.3,3497,3636,3489,2020,3135,3639
30135,Depth Charge,chinese,4.5,28,400,7256,6610,2000,487,7579,9946
30137,The Healer Demands Payment!,chinese,4.2,170,3.4,567,73,112,4760,1111,175
30139,Toaru Majutsu no Index SS: Agnese’s Magic Side Work Trial,japanese,3,4,129.2,11572,6645,2000,125,11083,10282
30141,"I’m the White Pig Nobleman, but With the Memories of My Previous Life, I’ll Raise My Little Brother",japanese,4,18,80,7404,2000,5639,518,7378,9750
30149,"Villain, Please Go Easy on Me",chinese,3.9,73,37.9,2417,3819,1373,2908,2174,1645
30157,My Old Gong Has Amnesia,chinese,4.6,60,37.1,4072,2972,1404,2162,2944,4301
30160,The Baby Raising A Devil,korean,4.4,289,1.7,515,1519,395,9860,235,171
30163,Blade of the Sword Master,chinese,3,21,12.3,7140,2000,2000,269,9418,3657
30165,"Your Highness, the Voice of Your Heart is Leaking!",japanese,4,67,18.7,2381,4274,5639,2494,2546,5287
30168,"Hubby, Please Spare Me",chinese,3.7,7,42.7,11255,2000,2000,146,10818,9408
30171,The Kids Have Changed,korean,4.2,132,27.6,1697,3505,3389,6068,747,1870
30180,"Let’s Make a Pact, Lord Fox Spirit",chinese,4,8,40.6,9533,2000,2000,286,9235,8429
30183,I Dumped the Male Lead Before the Apocalypse,chinese,3.9,73,8.1,3883,2901,4130,1666,3741,4760
30188,"The Story of Two Brothers, a Hero and a Carpenter",japanese,4.4,36,2000,6572,2000,6928,339,8734,10105
30192,"Adorable Baby at the Door: Mommy, Please Sign",chinese,3.1,9,105.7,9760,2000,2000,183,10374,7374
30197,Tattooed Whales,chinese,2,5,45.5,11236,2000,2000,189,10285,8718
